1;0
2;29
3;16
4;1
5;6
6;11
7;30
8;13
9;30
10;30
11;23
12;20
13;30
14;12
15;3
16;25
17;0
18;29
19;22
20;23
21;26
22;27
23;13
24;30
25;16
26;16
27;18
28;7
29;25
30;0
31;24
32;12
33;21
34;22
35;3
36;15
37;19
38;23
39;29
40;25
41;13
42;29
43;25
44;11
45;26
46;2
47;25
48;3
49;19
50;24
51;17
52;10
53;0
54;10
55;29
56;8
57;15
58;19
59;22
60;6
61;22
62;0
63;8
64;18
65;1
66;14
67;19
68;7
69;7
70;29
71;26
72;25
73;7
74;17
75;30
76;2
77;15
78;3
79;9
80;13
81;12
82;27
83;14
84;14
85;19
86;9
87;28
88;6
89;5
90;25
91;3
92;26
93;13
94;21
95;27
96;23
97;19
98;13
99;1
100;25
